ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,76917.6
0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,89706.0
0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,80235.8
1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,80099.4
0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,63487.2
0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,82536.2
0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,68715.2
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,87117.8
1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,83297.6
1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,72096.2
1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,81016.8
1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,83822.4
1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,69890.6
1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,72600.8
0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,75246.8
1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,79577.8
